battery_power,mobile_wt,px_height,px_width,ram,price_range
842,188,20,756,2549,1
1021,136,905,1988,2631,2
563,145,1263,1716,2603,2
615,131,1216,1786,2769,2
1821,141,1208,1212,1411,1
1859,164,1004,1654,1067,1
1821,139,381,1018,3220,3
1954,187,512,1149,700,0
1445,174,386,836,1099,0
509,93,1137,1224,513,0
769,182,248,874,3946,3
1520,177,151,1005,3826,3
1815,159,607,748,1482,1
803,198,344,1440,2680,2
1866,185,356,563,373,0
775,159,862,1864,568,0
838,196,984,1850,3554,3
595,121,441,810,3752,3
1131,101,658,878,1835,1
682,121,902,1064,2337,1
772,81,1314,1854,2819,3
1709,156,974,1385,3283,3
1949,199,407,822,1433,1
1602,114,466,788,1037,0
503,111,201,1245,2583,1
961,114,291,1434,2782,2
519,132,550,645,3763,3
956,143,511,1075,3286,3
1453,96,187,1311,2373,2
851,200,1171,1263,478,0
1579,88,1358,1739,3532,3
1568,150,413,654,508,0
1319,107,85,1152,2227,1
1310,100,178,1919,3845,3
644,157,311,881,1262,0
725,160,1134,1249,1326,1
589,160,429,815,2113,1
1725,119,609,1307,3429,3
790,87,347,730,3169,2
560,159,1448,1613,2150,2
1347,132,434,967,2484,2
1646,185,1725,1932,3339,3
1253,152,685,714,1878,1
1656,166,880,1456,1629,1
1195,110,1580,1652,504,0
1514,118,186,1810,1152,1
1723,164,202,1791,3587,3
1054,196,27,774,2296,1
578,162,1025,1433,1270,0
596,111,885,1854,3238,3
1547,198,1042,1832,2059,2
1760,127,1382,1383,2053,2
1654,109,546,629,3112,3
1457,102,1013,1287,1440,1
1073,145,690,804,2908,2
1936,104,667,1036,2552,2
823,148,822,1449,905,0
987,107,581,820,3963,3
1757,180,265,713,2056,1
1063,128,127,683,2910,2
1484,134,916,969,1457,1
799,144,361,975,431,0
1156,159,322,547,470,0
1720,168,753,1353,2148,2
702,141,504,1570,2955,2
616,81,651,1618,3366,3
1358,155,1565,1858,3068,3
1866,182,108,1781,3834,3
1242,165,459,1225,1050,0
1166,80,205,603,3993,3
1448,138,570,1724,3378,3
1407,104,1172,1217,2192,2
605,142,160,1026,392,0
1038,141,4,638,3709,3
797,90,763,1413,590,0
819,188,339,1242,1814,1
1114,197,1040,1071,907,0
1234,172,166,778,1449,0
1199,116,1168,1552,3448,3
1103,111,990,1486,1837,1
1589,85,319,1206,3464,3
999,199,1397,1616,2593,2
1510,180,708,1752,3484,3
1008,114,1077,1122,2009,1
1127,163,928,1049,2048,1
1412,96,516,1894,837,1
1496,182,96,741,854,0
1083,178,1025,1118,3210,3
668,155,666,1203,2746,2
1309,100,557,1402,2334,2
1724,177,1605,1924,2822,3
1977,171,1226,1242,1971,2
885,103,769,802,1410,0
879,83,403,1105,349,0
1322,140,177,1990,1418,1
1137,196,942,1179,3616,3
1355,132,651,891,880,0
1665,194,1572,1684,1601,2
657,141,476,961,1412,0
593,156,1233,1317,1692,1
1883,146,836,1739,2600,3
1732,119,824,881,1308,1
543,192,391,984,2413,1
1939,199,320,520,1047,0
553,121,325,902,1204,0
832,103,125,1504,1799,1
1661,172,846,1634,2676,3
1657,198,1770,1796,2597,3
1135,83,293,1846,3029,3
1775,163,1633,1869,2343,3
783,106,1198,1471,2016,1
617,199,768,874,2213,1
867,135,70,1974,790,0
1310,194,117,513,3182,2
1804,153,1158,1244,3472,3
1900,89,1055,1661,2871,3
909,82,635,973,3187,2
1084,107,322,771,1945,1
1308,199,275,989,488,0
1778,102,1445,1954,1214,1
1701,194,550,1338,2598,2
772,80,1242,1712,3242,3
825,130,597,863,3534,3
1379,200,538,1376,3426,3
1166,198,59,1203,2488,2
1659,89,819,902,3255,3
826,88,179,786,2863,2
1564,189,1259,1965,1496,1
1957,181,396,1732,3801,3
1571,100,713,1398,666,0
1414,99,262,829,3799,3
1790,184,622,792,1366,1
645,197,327,580,2962,2
668,195,522,1056,2399,1
1652,89,313,1264,2338,2
1213,108,226,1248,2700,2
1272,133,605,669,2235,1
866,179,692,1686,3825,3
536,182,1386,1539,284,0
523,155,304,1042,1427,0
1753,134,1590,1926,1324,2
1218,147,229,616,398,0
1537,137,839,1131,3685,3
786,141,507,1697,2390,2
1678,134,436,536,278,0
1814,141,756,786,3556,3
1101,148,387,1269,2196,1
1461,141,1265,1298,3799,3
1216,199,1852,1967,2268,2
506,159,875,1025,2965,2
843,147,140,800,2341,1
742,190,577,1359,3557,3
1692,176,975,1996,1354,1
1485,84,510,1013,2147,2
1547,166,583,590,505,0
1692,139,674,1925,1394,1
637,97,1125,1989,374,0
1224,109,747,826,506,0
1356,198,1612,1983,3702,3
1840,142,311,1545,1078,1
1481,96,116,1533,2945,2
961,152,554,621,2981,2
1296,124,811,1272,490,0
1193,166,730,1729,536,0
1441,118,577,1071,2317,2
517,183,660,974,3704,3
748,150,450,1554,2126,1
1126,160,1223,1611,2050,2
1572,157,1109,1937,2462,3
1569,110,45,1942,1260,1
1270,101,299,845,3770,3
1854,101,506,627,1886,1
625,183,635,842,3323,2
1577,197,1045,1737,2060,2
534,189,393,1199,3926,3
946,143,650,1740,2177,2
685,93,433,648,728,0
1949,101,839,1136,2478,3
